point[#],X[0.0-1.0],P[kbar],T[°C],phase,mode[mol%],mode[wt%],mode[vol%],log10(fO2),log10(dQFM),aH2O,aSiO2,aTiO2,aAl2O3,aMgO,aFeO,meltViscosity[Pa.s],density[kg/m3],volume[cm3/mol],heatCapacity[J/kg/K],alpha[1/K],Entropy[J/K],Enthalpy[J],Vp[km/s],Vs[km/s],Vp_S[km/s],Vs_S[km/s],BulkMod[GPa],ShearMod[GPa],SiO2[mol%],Al2O3[mol%],CaO[mol%],MgO[mol%],FeO[mol%],K2O[mol%],Na2O[mol%],TiO2[mol%],O[mol%],Cr2O3[mol%],H2O[mol%],SiO2[wt%],Al2O3[wt%],CaO[wt%],MgO[wt%],FeO[wt%],K2O[wt%],Na2O[wt%],TiO2[wt%],O[wt%],Cr2O3[wt%],H2O[wt%]
23,1.0,1.25,866.6666666666666,pl,6.106706051481235,6.872262751813799,6.1206864469067295,-,-,-,-,-,-,-,-,,2614.6489464085703,102.94653528017803,1143.1619420796944,2.8339140872881712e-6,0.13697663317977568,-895.3393591928677,6.217106398102362,3.3986666658699844,-,-,60.79363448243282,30.20164030414129,64.50286249274275,17.74856875362863,10.497137507257257,0.0,0.0,0.19016205546899298,7.0612691909023795,0.0,0.0,0.0,0.0,57.589562818861786,26.892305338592635,8.74810044308241,0.0,0.0,0.2662009710957666,6.503830428367398,0.0,0.0,0.0,0.0
23,1.0,1.25,866.6666666666666,cpx,3.21427579689228,3.0070051971580583,2.137080618274197,-,-,-,-,-,-,-,-,,3276.6272300439477,67.6580691364085,1395.5555666797768,3.814403366057543e-6,0.13562901573326464,-878.38009856684,7.241289210246992,4.105156881100569,-,-,98.18911127730102,55.218747725468724,50.27500654922855,0.3536390699570564,18.671551069658282,20.86143602733093,6.96169097166152,0.2112786429735306,1.307922884471557,0.4184719402346012,0.939002844483966,0.0,0.0,53.99563203357165,0.6445648756645792,18.718238261420105,15.028852281312908,8.94165857316559,0.3557812616032395,1.4491397847223675,0.5975592424581658,0.26857368608140914,0.0,0.0
23,1.0,1.25,866.6666666666666,liq,87.5690028997116,87.10191654755685,89.90172871640456,-,-,-,-,-,-,-,-,,2256.1783696200378,68.97288908653165,1434.7398127840431,2.0899955733294664e-5,0.14413871670423478,-797.2640961385009,2.506016638679393,2.477621150362004e-9,-,-,14.169069533880432,1.3849791350931402e-17,67.38769849424926,7.910464659129642,2.2181315613677746,2.104439109214392,1.680104458206486,2.5982205736319828,4.032196300969747,0.8276609268637297,0.3483460139363,0.0,10.892737902430675,68.07079949609886,13.56070051554906,2.0914409622045955,1.425908683253616,2.02961358011901,4.11506996473191,4.201879001281221,1.1115802263413752,0.09370896288144606,0.0,3.299298607538902
23,1.0,1.25,866.6666666666666,ilm,0.5148656122763955,0.6018855176113226,0.3130761065086698,-,-,-,-,-,-,-,-,,4476.903491185316,32.395211549009446,1162.5973841099776,3.302573635598646e-6,0.15988075860144185,-719.3308058016162,7.53382393289909,4.394635674900153,-,-,138.82014921707744,86.4616434378972,0.0,0.0,0.0,11.1452985832065,40.65616568095184,0.0,0.0,44.59560720752499,3.602928528316672,0.0,0.0,0.0,0.0,0.0,6.425461955606012,41.78888587334664,0.0,0.0,50.96097640538273,0.8246757656646122,0.0,0.0
23,1.0,1.25,866.6666666666666,mgt,0.7581999253492127,0.7349900940043339,0.3532965344947848,-,-,-,-,-,-,-,-,,4844.577093303584,46.069059995721304,1519.5619871492725,4.873773812002972e-6,0.17731840892877115,-466.3844757417269,7.27196319809778,4.180178595221564,-,-,143.31675905042067,84.65362218471127,0.0,0.7931799085561082,0.0,4.8529712517699295,69.17505732182714,0.0,0.0,2.3015258884995307,22.877265629347303,0.0,0.0,0.0,1.3951836977145364,0.0,3.3739809495650066,85.74447814451231,0.0,0.0,3.171639236696359,6.314717971511777,0.0,0.0
23,1.0,1.25,866.6666666666666,opx,1.836949714289281,1.6819398918556339,1.1741315774110597,-,-,-,-,-,-,-,-,,3335.857312611816,65.33293328478022,1463.1279330367895,3.7698677762120756e-6,0.13568311573851707,-833.9687082656583,7.0832444437062625,4.338440829964898,-,-,83.65082552464182,62.78773596207302,48.678540223437274,1.010306702860029,1.2378724650159065,35.3489724797061,13.05941101893093,0.0,0.05534872148443199,0.02998615097726989,0.5795622375880605,0.0,0.0,53.41729310362814,1.8814707352091775,1.2679388651297192,26.019338247914963,17.13818275236107,0.0,0.06265757344313856,0.04374950926905654,0.16936921304473096,0.0,0.0
24,1.0,1.25,856.0606060606061,system,100.0,100.0,100.0,-11.159480791771168,2.2911798019193754,0.71232011160588,0.7977309389158379,0.8249199801366034,0.0699160906066963,0.033553609025419324,0.06340128119734874,69339.0731079598,2352.9084386965187,0.00431045860531298,[1413.8380701623873],[1.9007015099433e-5],[0.1430425195179219],[-805.706406327681],2.9583917409833727,0.9508530789888439,6.414390904087405,3.5986820478656547,17.75642648514504,2.1273152900663237,65.83690980847999,8.020224913462265,3.013069968148219,3.0315270156293215,2.475389716689872,2.3532032144644104,4.010497096036389,0.9549015491385315,0.5008126057633889,0.0,9.803464112187607,66.21863440758304,13.689804066832556,2.8287728810610644,2.0452544538697763,2.977496180423273,3.7110020466265583,4.161315424441133,1.2769606431711706,0.1341454950616616,0.0,2.9566144009297766
24,1.0,1.25,856.0606060606061,pl,6.261435336228898,7.044262319293629,6.2599258868701195,-,-,-,-,-,-,-,-,,2610.615125292025,102.96497948487462,1149.2288027748357,2.8917014610876216e-6,0.13662294097822125,-896.1626256359419,6.185253243960671,3.3841861059893668,-,-,60.01039321631127,29.898632570953453,65.14389057138042,17.42805471430979,9.856109428619579,0.0,0.0,0.22343670705432572,7.348508578635886,0.0,0.0,0.0,0.0,58.24132147397656,26.442733354454344,8.225098844508693,0.0,0.0,0.313208131858512,6.777638195201871,0.0,0.0,0.0,0.0
24,1.0,1.25,856.0606060606061,mgt,0.6849330927700582,0.6637437918152858,0.317291457409085,-,-,-,-,-,-,-,-,,4853.092999010891,46.03749422726092,1525.4868523945054,4.860181703433654e-6,0.17699230349996564,-465.918427335994,7.276122253071804,4.1781009201496895,-,-,143.97469747109255,84.71815042160434,0.0,0.7587601161403569,0.0,4.7499361681504855,69.34212836260126,0.0,0.0,2.114221644712345,23.034953708395562,0.0,0.0,0.0,1.3365069557931069,0.0,3.306965938876749,86.0717914669508,0.0,0.0,2.9175981377883606,6.36713750059098,0.0,0.0
24,1.0,1.25,856.0606060606061,cpx,3.077491442062251,2.8820557684536023,2.039971367517635,-,-,-,-,-,-,-,-,,3277.591537624598,67.63315883739038,1394.479846938251,3.802525682440736e-6,0.13517684970458627,-880.8549880878453,7.246588733117816,4.102914397164682,-,-,98.55009640802095,55.174669654955,50.31849093906566,0.3308292560627878,18.656109725457583,20.782893512150526,6.943060107096455,0.22073384599080578,1.3533221427390532,0.42932458231590004,0.9652358891212162,0.0,0.0,54.04322161029867,0.6030001681459755,18.703065312506553,14.972514992249506,8.917875307348648,0.3717093891622341,1.4994654303953276,0.6130663940023101,0.27608139589077013,0.0,0.0
